Pick,Player,Team,Position,Cost,Owner
134,Mason Crosby,GB,K,1,KIER
135,Chris Hogan,NE,WR,3,GUS
136,Darren Sproles,Phi,RB,1,MOOD
137,Derek Carr,Oak,QB,1,PEPE
138,Cairo Santos,KC,K,1,BILL
139,Jaguars,Jax,D/ST,1,KIER
140,Danny Amendola,NE,WR,2,PEPE
141,Giovani Bernard,Cin,RB,2,PEPE
142,O.J. Howard,TB,TE,1,BILL
143,Philip Rivers,LAC,QB,1,KIER
144,Sterling Shepard,NYG,WR,1,NICK
145,Latavius Murray,Min,RB,2,KIER
146,Deshaun Watson,Hou,QB,1,BILL
147,Thomas Rawls,Sea,RB,1,KIER
148,Torrey Smith,Phi,WR,1,NICK
149,Jordan Matthews,Buf,WR,2,BILL
150,Panthers,Car,D/ST,1,BILL
151,Corey Coleman,Cle,WR,1,KIER
152,Jason Witten,Dal,TE,1,NICK
153,Dion Lewis,NE,RB,1,MOOD
154,Mohamed Sanu,Atl,WR,1,BILL
155,Zay Jones,Buf,WR,1,KIER
156,Chris Boswell,Pit,K,1,NICK
157,Malcolm Mitchell,NE,WR,2,BILL
158,Jamaal Charles,Den,RB,1,BILL
159,Rex Burkhead,NE,RB,1,MOOD
160,Jacquizz Rodgers,TB,RB,1,MOOD
