abbrev,year,week,player,first,last,pos,team,owned,start,slot,proj,score
GUS,2019,2,0011237,Matt,Ryan,QB,1,0.9787424875948257,0.7015487056385308,QB,19.2581800994,19.1
GUS,2019,2,3051392,Ezekiel,Elliott,RB,6,0.9989465832325858,0.9915415553380231,RB,17.629032094,18
GUS,2019,2,4047365,Josh,Jacobs,RB,13,0.989862261902781,0.9260125258543792,RB,14.155953479,9.9
GUS,2019,2,3120348,JuJu,Smith-Schuster,WR,23,0.9986499011302195,0.9592980643518187,WR,10.473689467,8.4
GUS,2019,2,2577327,Tyler,Lockett,WR,26,0.9576198038570203,0.5202969276238917,WR,8.1120701657,7.9
GUS,2019,2,3051876,Evan,Engram,TE,19,0.9934308586842326,0.9480286064072101,TE,7.808976841500001,4.800000000000001
GUS,2019,2,0016017,Patriots,D/ST,D,17,0.8870406767885959,0.8097711939801929,DF,5.391398230500001,34.5
GUS,2019,2,2971573,Ka'imi,Fairbairn,K,34,0.9302129218222619,0.87141578411997,K,9.257032068,7
GUS,2019,2,0016944,Devonta,Freeman,RB,1,0.9866571357047872,0.8163608896786338,BE,12.533871598,6.4
GUS,2019,2,0015835,Zach,Ertz,TE,21,0.99851815298768,0.9688500997424856,BE,8.790940695,9.2
GUS,2019,2,2976212,Stefon,Diggs,WR,16,0.986638874097055,0.7401008867382849,BE,8.9541442415,8.9
GUS,2019,2,2974858,Kenny,Golladay,WR,8,0.9638816859506046,0.5830147480161372,BE,8.145422979,17.700000000000003
GUS,2019,2,0005536,Ben,Roethlisberger,QB,23,0.8517598551014899,0.4174598060473068,BE,18.8469115626,3
GUS,2019,2,3116165,Chris,Godwin,WR,27,0.9429375763754085,0.5350941610661049,BE,9.448463176,18.1
GUS,2019,2,0016021,Eagles,D/ST,D,21,0.5355146914373008,0.36025834997317097,BE,2.9183174834999996,6
GUS,2019,2,3139605,Marlon,Mack,RB,11,0.9641269816004452,0.7299683898960535,FX,11.437342289,6.300000000000001
PEPE,2019,2,3918298,Josh,Allen,QB,2,0.3002495148322706,0.14036551963387073,QB,18.757954429,22.22
PEPE,2019,2,2508176,David,Johnson,RB,22,0.9987309543671737,0.9820235417370587,RB,13.576065169,7.4
PEPE,2019,2,3128720,Nick,Chubb,RB,5,0.9964728047822256,0.9643062314505708,RB,15.693821802999997,14.8
PEPE,2019,2,0013982,Julio,Jones,WR,1,0.9988886766570004,0.9875938402588457,WR,12.753744478,22.6
PEPE,2019,2,0016800,Davante,Adams,WR,9,0.9986180839987874,0.9582567310523761,WR,10.227855874000001,10.600000000000001
PEPE,2019,2,3116365,Mark,Andrews,TE,33,0.7132425562581264,0.3745071693340482,TE,6.265805631,17.200000000000003
PEPE,2019,2,0016002,Bills,D/ST,D,2,0.8833440578567271,0.7768773901151653,DF,4.898977707999999,5
PEPE,2019,2,2985659,Wil,Lutz,K,18,0.9756435993029053,0.9155552124006383,K,7.869859291999999,12
